signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
43064,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:51:09.226123+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569459,0.08707318448877188,0.27803730045319996,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
43063,KXHIGHCHI-26MAY12-T73,2026-05-12 23:51:08.673738+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43031,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:45:47.744756+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986088,0.058545692771101554,0.013936760293849642,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
43030,KXHIGHCHI-26MAY12-T80,2026-05-12 23:45:47.192124+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126899859,0.14913348625575995,0.011505851292248008,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43029,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:45:46.634091+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.3468816436117289,0.08024949930327319,0.1203268746747745,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
43028,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:45:46.090096+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.1706885783177754,0.07030386364097607,0.029134590768143346,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
43027,KXHIGHCHI-26MAY12-T73,2026-05-12 23:45:45.530524+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43026,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:45:44.975923+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569458,0.08707318448877188,0.2780373004532001,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
42995,KXHIGHCHI-26MAY12-T73,2026-05-12 23:40:14.963068+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
42994,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:40:14.423754+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831775708,0.07030386364097607,0.02913459076813709,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
