signal_id,ticker,ts,station,valid_date,lead_day,yes_won,n_members,member_mean_f,member_sigma_f,original_p_yes,raw_member_p_yes,calibrated_p_yes,calibrated_variant,original_brier,raw_member_brier,calibrated_brier
62915,KXHIGHNY-26MAY15-T65,2026-05-15 22:10:24.505993+00:00,KNYC,2026-05-15,0,0,197,65.5251016157896,3.0225315063569544,0.05458783470282001,0.4365482233502538,0.20173892840011787,"bias=+2.0,spread=1.00",0.0029798316975424006,0.19057435131026307,0.04069859523202788
62922,KXHIGHNY-26MAY15-B71.5,2026-05-15 22:10:28.922606+00:00,KNYC,2026-05-15,0,0,197,65.5251016157896,3.0225315063569544,0.08704738589445027,0.030456852791878174,0.09009853250497057,"bias=+2.0,spread=1.00",0.00757724739105734,0.0009276198819861373,0.00811774555954924
62923,KXHIGHNY-26MAY15-B69.5,2026-05-15 22:10:29.542561+00:00,KNYC,2026-05-15,0,0,197,65.5251016157896,3.0225315063569544,0.1390833036852165,0.1065989847715736,0.18764532729428451,"bias=+2.0,spread=1.00",0.019344165363994154,0.01136334355433018,0.03521076885537916
62924,KXHIGHNY-26MAY15-B65.5,2026-05-15 22:10:30.114053+00:00,KNYC,2026-05-15,0,1,197,65.5251016157896,3.0225315063569544,0.48170256127061667,0.19289340101522842,0.22930026312104768,"bias=+2.0,spread=1.00",0.2686322349934388,0.6514210621247648,0.5939780844252863
62925,KXHIGHNY-26MAY15-B67.5,2026-05-15 22:10:30.729930+00:00,KNYC,2026-05-15,0,0,197,65.5251016157896,3.0225315063569544,0.2710981793176968,0.233502538071066,0.25617452315693756,"bias=+2.0,spread=1.00",0.0734942228293701,0.054523435285629626,0.06562538631468434
62926,KXHIGHNY-26MAY15-T72,2026-05-15 22:10:31.376853+00:00,KNYC,2026-05-15,0,0,197,65.5251016157896,3.0225315063569544,0.07923339423044884,0.0,0.03504242552264181,"bias=+2.0,spread=1.00",0.006277930761277723,0.0,0.001227971586509898
62933,KXHIGHMIA-26MAY15-B89.5,2026-05-15 22:10:35.820486+00:00,KMIA,2026-05-15,0,0,197,85.71851437331456,2.4356554351377815,0.03289260718166041,0.050761421319796954,0.21045027636323732,"bias=+2.0,spread=1.00",0.0010819236072070182,0.0025767218944059366,0.044289318821362965
62934,KXHIGHMIA-26MAY15-T85,2026-05-15 22:10:36.440371+00:00,KMIA,2026-05-15,0,0,197,85.71851437331456,2.4356554351377815,0.0328926071816604,0.34517766497461927,0.13218269509379726,"bias=+2.0,spread=1.00",0.0010819236072070173,0.1191476203973305,0.017472264882259777
62935,KXHIGHMIA-26MAY15-T92,2026-05-15 22:10:37.025775+00:00,KMIA,2026-05-15,0,1,197,85.71851437331456,2.4356554351377815,0.84,0.0,0.015063970851876274,"bias=+2.0,spread=1.00",0.02560000000000001,1.0,0.9700989815140736
62936,KXHIGHMIA-26MAY15-B85.5,2026-05-15 22:10:37.631498+00:00,KMIA,2026-05-15,0,0,197,85.71851437331456,2.4356554351377815,0.0328926071816604,0.2639593908629442,0.2518148689050712,"bias=+2.0,spread=1.00",0.0010819236072070173,0.06967456002473654,0.0634107282016782
