signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
63631,KXHIGHCHI-26MAY15-B77.5,2026-05-15 23:55:19.850958+00:00,KMDW,2026-05-15,0,77.0,79.0,0,0.16691407125514515,0.14720812182741116,0.027860307182967673,0.02167023113195393,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63630,KXHIGHCHI-26MAY15-T78,2026-05-15 23:55:19.254118+00:00,KMDW,2026-05-15,0,79.0,,0,0.09325814510562913,0.025380710659898477,0.008697081628542578,0.0006441804736014841,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-3.700000000000003
63629,KXHIGHCHI-26MAY15-B75.5,2026-05-15 23:55:18.638063+00:00,KMDW,2026-05-15,0,75.0,77.0,1,0.6112939996693194,0.17258883248730963,0.15109235469307505,0.6846092401247134,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,NO,-19.990000000000016
63628,KXHIGHCHI-26MAY15-B71.5,2026-05-15 23:55:18.071361+00:00,KMDW,2026-05-15,0,71.0,73.0,0,0.016179408166878358,0.12690355329949238,0.0002617732486304501,0.016104511840037104,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63627,KXHIGHCHI-26MAY15-T71,2026-05-15 23:55:17.423219+00:00,KMDW,2026-05-15,0,,71.0,0,0.01617940816687831,0.38071065989847713,0.0002617732486304485,0.14494060656033392,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63626,KXHIGHCHI-26MAY15-B73.5,2026-05-15 23:55:16.785463+00:00,KMDW,2026-05-15,0,73.0,75.0,0,0.016179408166878163,0.14720812182741116,0.0002617732486304438,0.02167023113195393,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63594,KXHIGHCHI-26MAY15-B71.5,2026-05-15 23:49:47.253640+00:00,KMDW,2026-05-15,0,71.0,73.0,0,0.016179408166878358,0.12690355329949238,0.0002617732486304501,0.016104511840037104,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63593,KXHIGHCHI-26MAY15-B77.5,2026-05-15 23:49:46.634335+00:00,KMDW,2026-05-15,0,77.0,79.0,0,0.16641799252983114,0.14720812182741116,0.02769494823765893,0.02167023113195393,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63592,KXHIGHCHI-26MAY15-T71,2026-05-15 23:49:46.030802+00:00,KMDW,2026-05-15,0,,71.0,0,0.016179408166878226,0.38071065989847713,0.00026177324863044585,0.14494060656033392,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-19.990000000000016
63591,KXHIGHCHI-26MAY15-T78,2026-05-15 23:49:45.421109+00:00,KMDW,2026-05-15,0,79.0,,0,0.09326277485134117,0.025380710659898477,0.008697945172971955,0.0006441804736014841,72.85905513240603,3.6284839874793415,"TRUE_ECMWF_AIFS_ENS:0.26,TRUE_ECMWF_IFS_ENS:0.26,TRUE_GFS_ENS:0.16,TRUE_WEATHERNEXT2:0.32",OPEN,YES,-3.700000000000003
