fill_id,ticker,station,valid_date,side,ts,price,contracts,fees,settled,net_pnl,fair_prob,edge,size_usd,snapshot_age_sec,book_ask,book_bid,book_ask_size,ask_minus_fill,top_book_covers_fill,m2m_15m,m2m_30m,m2m_60m,age_nbm_min,age_hrrr_min,age_gfs_min,age_ecmwf_min
203,KXHIGHMIA-26MAY16-B88.5,KMIA,2026-05-16,YES,2026-05-16 16:23:54.510941+00:00,0.30000000000000004,31,0.46,False,,0.5910529808440813,0.27620449599559643,9.528392685274303,259.097586,0.35,0.24,,0.04999999999999993,,-0.29000000000000004,-0.28,-0.28,135.18136638333334,17.670640133333332,208.93487048333333,214.60162086666668
202,KXHIGHMIA-26MAY17-B85.5,KMIA,2026-05-17,YES,2026-05-16 16:23:48.782034+00:00,0.26,7,0.1,False,,0.2858165104749891,0.012180146838625481,1.9916268858870383,253.368679,0.26,0.25,,0.0,,-0.07,-0.06,-0.07,135.0858846,17.57515835,208.8393887,214.50613908333332
201,KXHIGHMIA-26MAY16-T91,KMIA,2026-05-16,YES,2026-05-16 14:34:04.539085+00:00,0.020000000000000018,276,0.38,False,,0.04449211676513891,0.02311391163693376,5.524046547090521,65.82937,0.03,0.02,,0.009999999999999981,,0.04999999999999999,0.07999999999999999,0.029999999999999985,25.348502116666666,28.052487533333334,99.10200621666667,104.7687566
200,KXHIGHMIA-26MAY17-B85.5,KMIA,2026-05-17,NO,2026-05-16 14:23:11.608350+00:00,0.74,26,0.36,False,,0.19148596410548513,0.054810332190811176,19.63636363636364,60.080262,0.74,0.73,,0.0,,0.0,0.0,0.0,14.4663232,17.170308616666667,88.2198273,93.88657768333333
199,KXHIGHMIA-26MAY17-B89.5,KMIA,2026-05-17,NO,2026-05-16 14:23:10.993552+00:00,0.85,23,0.21,False,,0.12105487456209596,0.01981469065529537,19.78744939271255,59.465464,0.85,0.84,,0.0,,-0.08999999999999997,-0.08999999999999997,-0.08999999999999997,14.456076566666667,17.160061983333332,88.20958066666667,93.87633105
198,KXHIGHMIA-26MAY17-T90,KMIA,2026-05-17,YES,2026-05-16 14:23:10.337340+00:00,0.050000000000000044,334,1.12,False,,0.1209091909617823,0.0675579845274659,16.720665827939264,58.809252,0.05,0.03,,-4.163336342344337e-17,,-0.020000000000000046,-0.020000000000000046,-0.020000000000000046,14.4451397,17.149125116666667,88.1986438,93.86539418333334
197,KXHIGHMIA-26MAY17-B83.5,KMIA,2026-05-17,YES,2026-05-16 14:23:09.677924+00:00,0.050000000000000044,374,1.25,False,,0.29302623673726014,0.23969290340392677,18.75,58.149836,0.05,0.04,,-4.163336342344337e-17,,-0.010000000000000044,-0.010000000000000044,-0.010000000000000044,14.434149433333333,17.13813485,88.18765353333333,93.85440391666667
196,KXHIGHMIA-26MAY17-T83,KMIA,2026-05-17,YES,2026-05-16 14:23:09.002007+00:00,0.010000000000000009,1869,1.3,False,,0.278615095265095,0.26791974759125803,18.699719363891486,57.473919,0.01,0.0,,-8.673617379884035e-18,,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,14.42288415,17.126869566666667,88.17638825,93.84313863333334
195,KXHIGHMIA-26MAY17-B87.5,KMIA,2026-05-17,NO,2026-05-16 14:23:02.203012+00:00,0.56,34,0.59,False,,0.13348882506181514,0.2890826035096134,19.396338446313706,50.674924,0.56,0.52,,0.0,,-0.010000000000000009,-0.010000000000000009,0.0,14.309567566666667,17.013552983333334,88.06307166666667,93.72982205
194,KXHIGHMIA-26MAY16-T91,KMIA,2026-05-16,NO,2026-05-16 04:20:46.289828+00:00,0.85,23,0.21,False,,0.03934503382965153,0.10152453138773984,19.78744939271255,93.465049,0.85,0.83,,0.0,,-0.020000000000000018,-0.010000000000000009,-0.039999999999999925,73.2618772,15.9589259,216.47106638333332,225.74429953333333
