signal_id,ticker,ts,station,valid_date,lead_day,action,fair_prob,yes_mid,prob_edge,abs_prob_edge,edge_z,freshest_source,freshest_age_min,m2m_15m,m2m_30m,m2m_60m,signed_m2m_15m,signed_m2m_30m,signed_m2m_60m
70654,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:37:04.985638+00:00,KMDW,2026-05-17,1,SKIP,0.12619408602760904,0.03500000000000002,0.09119408602760902,0.09119408602760902,1.8238817205521802,GFS,29.997495166666667,,,,,,
70653,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:37:04.598462+00:00,KMDW,2026-05-17,1,SKIP,0.2162617715493847,0.32499999999999996,-0.10873822845061526,0.10873822845061526,2.174764569012305,GFS,29.99104223333333,,,,,,
70651,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:37:03.613774+00:00,KMDW,2026-05-17,1,SKIP,0.16034665246367671,0.11,0.050346652463676714,0.050346652463676714,1.0069330492735342,GFS,29.974630766666667,,,,,,
70650,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:37:03.252060+00:00,KMDW,2026-05-17,1,SKIP,0.18994012858564624,0.29500000000000004,-0.1050598714143538,0.1050598714143538,2.101197428287076,GFS,29.9686022,,,,,,
70649,KXHIGHCHI-26MAY17-T84,2026-05-17 00:37:02.861382+00:00,KMDW,2026-05-17,1,SKIP,0.47361915933067933,0.255,0.21861915933067932,0.21861915933067932,4.372383186613586,GFS,29.9620909,,,,,,
70648,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:37:02.452841+00:00,KMIA,2026-05-17,1,SKIP,0.22742122172378607,0.045000000000000026,0.18242122172378605,0.18242122172378605,3.648424434475721,GFS,29.955281883333335,,,,,,
70647,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:37:02.060803+00:00,KMIA,2026-05-17,1,SKIP,0.17352049662718735,0.41500000000000004,-0.24147950337281268,0.24147950337281268,4.8295900674562535,GFS,29.948747916666665,,,,,,
70646,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:37:01.396890+00:00,KMIA,2026-05-17,1,SKIP,0.1326411522588332,0.42500000000000004,-0.2923588477411668,0.2923588477411668,5.847176954823336,GFS,29.9376827,,,,,,
70645,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:37:00.766907+00:00,KNYC,2026-05-17,1,SKIP,0.2121014751848915,0.41500000000000004,-0.20289852481510853,0.20289852481510853,4.05797049630217,GFS,29.927182983333335,,,,,,
70644,KXHIGHNY-26MAY17-B87.5,2026-05-17 00:37:00.334492+00:00,KNYC,2026-05-17,1,SKIP,0.2484332280510757,0.30999999999999994,-0.06156677194892424,0.06156677194892424,1.2313354389784847,GFS,29.919976066666667,,,,,,
70643,KXHIGHNY-26MAY17-T90,2026-05-17 00:36:59.745735+00:00,KNYC,2026-05-17,1,SKIP,0.15107758973975,0.07999999999999999,0.07107758973975001,0.07107758973975001,1.421551794795,GFS,29.91016345,,,,,,
70642,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:36:59.365274+00:00,KNYC,2026-05-17,1,SKIP,0.18601390814727597,0.06499999999999997,0.121013908147276,0.121013908147276,2.42027816294552,GFS,29.903822433333332,,,,,,
70641,KXHIGHNY-26MAY17-T83,2026-05-17 00:36:58.749884+00:00,KNYC,2026-05-17,1,SKIP,0.13469463793472508,0.025000000000000015,0.10969463793472506,0.10969463793472506,2.193892758694501,GFS,29.893565933333335,,,,,,
70639,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:36:57.870917+00:00,KMIA,2026-05-17,1,SKIP,0.25883063139875884,0.12,0.13883063139875884,0.13883063139875884,2.776612627975177,GFS,29.878916483333334,,,,,,
70638,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:36:57.292483+00:00,KNYC,2026-05-17,1,SKIP,0.2615254252438667,0.16000000000000003,0.10152542524386665,0.10152542524386665,2.030508504877333,GFS,29.869275916666666,,,,,,
70637,KXHIGHMIA-26MAY17-T90,2026-05-17 00:36:56.880524+00:00,KMIA,2026-05-17,1,SKIP,0.12864173729443182,0.025000000000000015,0.1036417372944318,0.1036417372944318,2.0728347458886356,GFS,29.862409933333332,,,,,,
70636,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:31:50.430927+00:00,KMIA,2026-05-17,1,SKIP,0.19996720747206004,0.41500000000000004,-0.21503279252794,0.21503279252794,4.300655850558799,GFS,24.75491665,,,,,,
70634,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:31:49.408764+00:00,KMDW,2026-05-17,1,SKIP,0.21829713650746885,0.32499999999999996,-0.10670286349253111,0.10670286349253111,2.134057269850622,GFS,24.7378806,,,,,,
70633,KXHIGHCHI-26MAY17-T84,2026-05-17 00:31:49.032780+00:00,KMDW,2026-05-17,1,SKIP,0.47768957869375667,0.255,0.22268957869375666,0.22268957869375666,4.453791573875133,GFS,24.7316142,,,,,,
70632,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:31:48.687570+00:00,KMDW,2026-05-17,1,SKIP,0.12590654740391824,0.03500000000000002,0.09090654740391822,0.09090654740391822,1.8181309480783643,GFS,24.7258607,,,,,,
70631,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:31:48.092810+00:00,KMDW,2026-05-17,1,SKIP,0.18627665799294932,0.29500000000000004,-0.10872334200705072,0.10872334200705072,2.1744668401410143,GFS,24.715948033333333,,,,,,
70630,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:31:47.715678+00:00,KMDW,2026-05-17,1,SKIP,0.15842649916304316,0.11,0.04842649916304316,0.04842649916304316,0.9685299832608631,GFS,24.7096625,,,,,,
70629,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:31:47.065720+00:00,KMIA,2026-05-17,1,SKIP,0.22990914843678661,0.045000000000000026,0.18490914843678657,0.18490914843678657,3.6981829687357313,GFS,24.698829866666667,,,,,,
70627,KXHIGHNY-26MAY17-B87.5,2026-05-17 00:31:46.325638+00:00,KNYC,2026-05-17,1,SKIP,0.2457804012070659,0.30499999999999994,-0.059219598792934036,0.059219598792934036,1.1843919758586807,GFS,24.686495166666667,,,,,,
70626,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:31:45.980305+00:00,KNYC,2026-05-17,1,SKIP,0.19079712906607754,0.06499999999999997,0.12579712906607757,0.12579712906607757,2.5159425813215512,GFS,24.680739616666667,,,,,,
70625,KXHIGHNY-26MAY17-T90,2026-05-17 00:31:45.372809+00:00,KNYC,2026-05-17,1,SKIP,0.14798278249079505,0.08499999999999999,0.06298278249079506,0.06298278249079506,1.259655649815901,GFS,24.670614683333334,,,,,,
70624,KXHIGHNY-26MAY17-T83,2026-05-17 00:31:45.013542+00:00,KNYC,2026-05-17,1,SKIP,0.1354818433935896,0.025000000000000015,0.11048184339358957,0.11048184339358957,2.2096368678717915,GFS,24.6646269,,,,,,
70623,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:31:44.617174+00:00,KNYC,2026-05-17,1,SKIP,0.21121747583467995,0.41000000000000003,-0.19878252416532008,0.19878252416532008,3.9756504833064015,GFS,24.658020766666667,,,,,,
70622,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:31:44.240518+00:00,KMIA,2026-05-17,1,SKIP,0.25831850873221884,0.11499999999999999,0.14331850873221885,0.14331850873221885,2.866370174644377,GFS,24.651743166666666,,,,,,
70621,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:31:43.651560+00:00,KMIA,2026-05-17,1,SKIP,0.13238300827382007,0.43999999999999995,-0.30761699172617984,0.30761699172617984,6.1523398345235965,GFS,24.6419272,,,,,,
70620,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:31:43.000842+00:00,KNYC,2026-05-17,1,SKIP,0.2625866323093769,0.16000000000000003,0.10258663230937687,0.10258663230937687,2.051732646187537,GFS,24.6310819,,,,,,
70619,KXHIGHMIA-26MAY17-T90,2026-05-17 00:31:42.565171+00:00,KMIA,2026-05-17,1,SKIP,0.12843110052252846,0.01500000000000001,0.11343110052252844,0.11343110052252844,2.2686220104505685,GFS,24.623820716666668,,,,,,
70618,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:26:33.401093+00:00,KMIA,2026-05-17,1,SKIP,0.19578692644057988,0.42000000000000004,-0.22421307355942016,0.22421307355942016,4.484261471188403,GFS,19.471086083333333,,,,,,
70617,KXHIGHCHI-26MAY17-T84,2026-05-17 00:26:33.049324+00:00,KMDW,2026-05-17,1,SKIP,0.4817925791950999,0.265,0.21679257919509987,0.21679257919509987,4.335851583901997,GFS,19.465223266666666,,,,,,
70616,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:26:32.731340+00:00,KMDW,2026-05-17,1,SKIP,0.22034879327757695,0.32499999999999996,-0.104651206722423,0.104651206722423,2.09302413444846,GFS,19.459923533333335,,,,,,
70614,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:26:31.505666+00:00,KMDW,2026-05-17,1,SKIP,0.12562218121872734,0.03500000000000002,0.09062218121872732,0.09062218121872732,1.8124436243745463,GFS,19.439495633333333,,,,,,
70613,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:26:31.115886+00:00,KMDW,2026-05-17,1,SKIP,0.18258386363007847,0.29500000000000004,-0.11241613636992157,0.11241613636992157,2.248322727398431,GFS,19.4329993,,,,,,
70612,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:26:30.750551+00:00,KMDW,2026-05-17,1,SKIP,0.15648103564114033,0.11,0.046481035641140325,0.046481035641140325,0.9296207128228064,GFS,19.426910383333333,,,,,,
70611,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:26:30.316767+00:00,KMIA,2026-05-17,1,SKIP,0.232416989433057,0.045000000000000026,0.18741698943305696,0.18741698943305696,3.748339788661139,GFS,19.41968065,,,,,,
70609,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:26:29.274047+00:00,KMIA,2026-05-17,1,SKIP,0.25780228684692086,0.115,0.14280228684692087,0.14280228684692087,2.8560457369384173,GFS,19.402301983333334,,,,,,
70608,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:26:28.931040+00:00,KMIA,2026-05-17,1,SKIP,0.13212590119909404,0.385,-0.25287409880090594,0.25287409880090594,5.057481976018119,GFS,19.3965852,,,,,,
70607,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:26:28.304779+00:00,KNYC,2026-05-17,1,SKIP,0.21032640062753924,0.44999999999999996,-0.23967359937246072,0.23967359937246072,4.793471987449214,GFS,19.386147516666668,,,,,,
70606,KXHIGHNY-26MAY17-B87.5,2026-05-17 00:26:27.908529+00:00,KNYC,2026-05-17,1,SKIP,0.2431063401583008,0.29500000000000004,-0.05189365984169925,0.05189365984169925,1.037873196833985,GFS,19.37954335,,,,,,
70605,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:26:27.558609+00:00,KNYC,2026-05-17,1,SKIP,0.19560412674261507,0.06499999999999997,0.1306041267426151,0.1306041267426151,2.6120825348523016,GFS,19.37371135,,,,,,
70604,KXHIGHNY-26MAY17-T83,2026-05-17 00:26:27.159563+00:00,KNYC,2026-05-17,1,SKIP,0.13628985984251799,0.025000000000000015,0.11128985984251796,0.11128985984251796,2.225797196850359,GFS,19.367060583333334,,,,,,
70603,KXHIGHNY-26MAY17-T90,2026-05-17 00:26:26.732617+00:00,KNYC,2026-05-17,1,SKIP,0.14486320326286578,0.07499999999999998,0.0698632032628658,0.0698632032628658,1.3972640652573158,GFS,19.359944816666665,,,,,,
70602,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:26:26.371614+00:00,KNYC,2026-05-17,1,SKIP,0.2636563336677462,0.14500000000000002,0.1186563336677462,0.1186563336677462,2.373126673354924,GFS,19.3539281,,,,,,
70601,KXHIGHMIA-26MAY17-T90,2026-05-17 00:26:25.746738+00:00,KMIA,2026-05-17,1,SKIP,0.12822130983439337,0.01500000000000001,0.11322130983439335,0.11322130983439335,2.2644261966878667,GFS,19.3435135,,,,,,
70600,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:21:17.340220+00:00,KMIA,2026-05-17,1,SKIP,0.19161246879457478,0.395,-0.20338753120542524,0.20338753120542524,4.067750624108505,GFS,14.203404866666666,,,,,,
70598,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:21:16.571386+00:00,KMDW,2026-05-17,1,SKIP,0.12534395986678368,0.03500000000000002,0.09034395986678366,0.09034395986678366,1.806879197335673,GFS,14.190590966666667,,,,,,
70597,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:21:15.905769+00:00,KMDW,2026-05-17,1,SKIP,0.15453112161640278,0.11,0.04453112161640278,0.04453112161640278,0.8906224323280556,GFS,14.17949735,,,,,,
70595,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:21:15.122166+00:00,KMDW,2026-05-17,1,SKIP,0.18004359577705686,0.29500000000000004,-0.11495640422294318,0.11495640422294318,2.2991280844588635,GFS,14.1664373,,,,,,
70594,KXHIGHCHI-26MAY17-T84,2026-05-17 00:21:14.500507+00:00,KMDW,2026-05-17,1,SKIP,0.48588439946948275,0.265,0.22088439946948274,0.22088439946948274,4.417687989389655,GFS,14.156076316666667,,,,,,
70593,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:21:14.158126+00:00,KMDW,2026-05-17,1,SKIP,0.2212523954580205,0.32499999999999996,-0.10374760454197945,0.10374760454197945,2.074952090839589,GFS,14.150369966666666,,,,,,
70592,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:21:13.746472+00:00,KMIA,2026-05-17,1,SKIP,0.13187256053127935,0.385,-0.2531274394687206,0.2531274394687206,5.0625487893744126,GFS,14.143509066666667,,,,,,
70591,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:21:13.367259+00:00,KMIA,2026-05-17,1,SKIP,0.25728747160971766,0.11,0.14728747160971767,0.14728747160971767,2.9457494321943534,GFS,14.13718885,,,,,,
70590,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:21:12.997772+00:00,KMIA,2026-05-17,1,SKIP,0.23491799683730108,0.045000000000000026,0.18991799683730104,0.18991799683730104,3.798359936746021,GFS,14.131030733333333,,,,,,
70589,KXHIGHNY-26MAY17-B87.5,2026-05-17 00:21:12.376063+00:00,KNYC,2026-05-17,1,SKIP,0.24043956563300012,0.30500000000000005,-0.06456043436699993,0.06456043436699993,1.2912086873399986,GFS,14.120668916666666,,,,,,
70588,KXHIGHNY-26MAY17-T90,2026-05-17 00:21:12.040304+00:00,KNYC,2026-05-17,1,SKIP,0.14175212454664093,0.07499999999999998,0.06675212454664095,0.06675212454664095,1.335042490932819,GFS,14.115072933333334,,,,,,
70587,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:21:11.388862+00:00,KNYC,2026-05-17,1,SKIP,0.26472312020707933,0.14500000000000002,0.11972312020707931,0.11972312020707931,2.3944624041415863,GFS,14.104215566666667,,,,,,
70586,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:21:10.938711+00:00,KNYC,2026-05-17,1,SKIP,0.20943775350273738,0.45499999999999996,-0.24556224649726258,0.24556224649726258,4.911244929945251,GFS,14.09671305,,,,,,
70585,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:21:10.547793+00:00,KNYC,2026-05-17,1,SKIP,0.20038325221352846,0.06499999999999997,0.13538325221352848,0.13538325221352848,2.7076650442705694,GFS,14.09019775,,,,,,
70584,KXHIGHNY-26MAY17-T83,2026-05-17 00:21:10.201345+00:00,KNYC,2026-05-17,1,SKIP,0.1371104481985987,0.025000000000000015,0.11211044819859867,0.11211044819859867,2.242208963971973,GFS,14.084423616666667,,,,,,
70583,KXHIGHMIA-26MAY17-T90,2026-05-17 00:21:09.790486+00:00,KMIA,2026-05-17,1,SKIP,0.12801459240707222,0.01500000000000001,0.1130145924070722,0.1130145924070722,2.260291848141444,GFS,14.077575966666666,,,,,,
70582,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:15:53.109904+00:00,KMIA,2026-05-17,1,SKIP,0.18731949965989544,0.45499999999999996,-0.2676805003401045,0.2676805003401045,5.353610006802089,GFS,8.799566266666666,-0.03999999999999998,,,0.03999999999999998,,
70580,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:15:52.361761+00:00,KMDW,2026-05-17,1,SKIP,0.12506369631797273,0.03500000000000002,0.09006369631797272,0.09006369631797272,1.8012739263594542,GFS,8.787097216666666,-1.3877787807814457e-17,,,-1.3877787807814457e-17,,
70578,KXHIGHCHI-26MAY17-T84,2026-05-17 00:15:51.323643+00:00,KMDW,2026-05-17,1,SKIP,0.4062809244599429,0.265,0.1412809244599429,0.1412809244599429,2.825618489198858,GFS,8.76979525,-0.010000000000000009,,,-0.010000000000000009,,
70577,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:15:50.998472+00:00,KMDW,2026-05-17,1,SKIP,0.1775222310118808,0.29500000000000004,-0.11747776898811924,0.11747776898811924,2.3495553797623847,GFS,8.764375733333333,-5.551115123125783e-17,,,5.551115123125783e-17,,
70576,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:15:50.620917+00:00,KMDW,2026-05-17,1,SKIP,0.22048948986585082,0.32499999999999996,-0.10451051013414914,0.10451051013414914,2.0902102026829827,GFS,8.75808315,5.551115123125783e-17,,,-5.551115123125783e-17,,
70575,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:15:50.030716+00:00,KMDW,2026-05-17,1,SKIP,0.15251857774035935,0.11,0.042518577740359345,0.042518577740359345,0.8503715548071868,GFS,8.748246466666666,0.0,,,0.0,,
70574,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:15:49.615795+00:00,KMIA,2026-05-17,1,SKIP,0.13161552299925636,0.385,-0.2533844770007436,0.2533844770007436,5.0676895400148725,GFS,8.741331116666666,0.05499999999999999,,,-0.05499999999999999,,
70573,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:15:49.008852+00:00,KMIA,2026-05-17,1,SKIP,0.256758746036604,0.12,0.13675874603660398,0.13675874603660398,2.7351749207320797,GFS,8.7312154,0.0,,,0.0,,
70572,KXHIGHMIA-26MAY17-T90,2026-05-17 00:15:48.662644+00:00,KMIA,2026-05-17,1,SKIP,0.12780485846343378,0.01500000000000001,0.11280485846343377,0.11280485846343377,2.256097169268675,GFS,8.725445266666666,-1.0408340855860843e-17,,,-1.0408340855860843e-17,,
70571,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:15:48.255008+00:00,KMIA,2026-05-17,1,SKIP,0.23748658159861058,0.05500000000000003,0.18248658159861056,0.18248658159861056,3.649731631972211,GFS,8.718651333333334,-0.01000000000000003,,,-0.01000000000000003,,
70570,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:15:47.805253+00:00,KNYC,2026-05-17,1,SKIP,0.20645418373226093,0.42500000000000004,-0.2185458162677391,0.2185458162677391,4.370916325354782,GFS,8.711155416666667,-0.015000000000000069,,,0.015000000000000069,,
70569,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:15:47.184554+00:00,KNYC,2026-05-17,1,SKIP,0.26581873137714374,0.15500000000000003,0.11081873137714371,0.11081873137714371,2.216374627542874,GFS,8.700810433333332,0.004999999999999977,,,0.004999999999999977,,
70568,KXHIGHNY-26MAY17-B87.5,2026-05-17 00:15:46.794043+00:00,KNYC,2026-05-17,1,SKIP,0.2377007347139405,0.30500000000000005,-0.06729926528605956,0.06729926528605956,1.3459853057211912,GFS,8.694301916666667,-5.551115123125783e-17,,,5.551115123125783e-17,,
70567,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:15:46.419223+00:00,KNYC,2026-05-17,1,SKIP,0.20527586907424863,0.07499999999999998,0.13027586907424865,0.13027586907424865,2.605517381484973,GFS,8.688054916666667,-0.009999999999999981,,,-0.009999999999999981,,
70566,KXHIGHNY-26MAY17-T90,2026-05-17 00:15:45.791180+00:00,KNYC,2026-05-17,1,SKIP,0.14062789566476191,0.07499999999999998,0.06562789566476193,0.06562789566476193,1.3125579132952385,GFS,8.677587533333334,0.010000000000000023,,,0.010000000000000023,,
70565,KXHIGHNY-26MAY17-T83,2026-05-17 00:15:45.378627+00:00,KNYC,2026-05-17,1,SKIP,0.13796884973922907,0.025000000000000015,0.11296884973922905,0.11296884973922905,2.259376994784581,GFS,8.67071165,-1.3877787807814457e-17,,,-1.3877787807814457e-17,,
70563,KXHIGHCHI-26MAY17-B88.5,2026-05-17 00:10:36.781952+00:00,KMDW,2026-05-17,1,SKIP,0.15054965153208497,0.11,0.040549651532084965,0.040549651532084965,0.8109930306416993,GFS,3.5274337333333334,0.0,,,0.0,,
70562,KXHIGHCHI-26MAY17-B86.5,2026-05-17 00:10:36.400988+00:00,KMDW,2026-05-17,1,SKIP,0.1750674078335238,0.29500000000000004,-0.11993259216647623,0.11993259216647623,2.3986518433295245,GFS,3.5210843333333335,-5.551115123125783e-17,,,5.551115123125783e-17,,
70561,KXHIGHCHI-26MAY17-B90.5,2026-05-17 00:10:35.796171+00:00,KMDW,2026-05-17,1,SKIP,0.1247960581712225,0.03500000000000002,0.08979605817122248,0.08979605817122248,1.7959211634244494,GFS,3.51100405,-1.3877787807814457e-17,,,-1.3877787807814457e-17,,
70560,KXHIGHCHI-26MAY17-B84.5,2026-05-17 00:10:35.404721+00:00,KMDW,2026-05-17,1,SKIP,0.21926189098090587,0.31499999999999995,-0.09573810901909408,0.09573810901909408,1.9147621803818815,GFS,3.5044798833333335,0.010000000000000064,,,-0.010000000000000064,,
70559,KXHIGHCHI-26MAY17-T84,2026-05-17 00:10:35.039996+00:00,KMDW,2026-05-17,1,SKIP,0.4124182945654462,0.265,0.1474182945654462,0.1474182945654462,2.948365891308924,GFS,3.498401133333333,0.0,,,0.0,,
70558,KXHIGHMIA-26MAY17-B89.5,2026-05-17 00:10:34.677845+00:00,KMIA,2026-05-17,1,SKIP,0.13136829724033292,0.38,-0.2486317027596671,0.2486317027596671,4.972634055193342,GFS,3.492365283333333,0.05499999999999999,,,-0.05499999999999999,,
70557,KXHIGHMIA-26MAY17-B85.5,2026-05-17 00:10:34.290984+00:00,KMIA,2026-05-17,1,SKIP,0.2562439741123683,0.125,0.13124397411236832,0.13124397411236832,2.6248794822473664,GFS,3.4859176,-0.015,,,-0.015,,
70556,KXHIGHMIA-26MAY17-B83.5,2026-05-17 00:10:33.973964+00:00,KMIA,2026-05-17,1,SKIP,0.239987378585515,0.05500000000000003,0.18498737858551498,0.18498737858551498,3.6997475717102994,GFS,3.4806339333333334,-0.01000000000000003,,,-0.01000000000000003,,
70555,KXHIGHMIA-26MAY17-B87.5,2026-05-17 00:10:33.612939+00:00,KMIA,2026-05-17,1,SKIP,0.18313432746176764,0.45499999999999996,-0.27186567253823235,0.27186567253823235,5.437313450764647,GFS,3.47461685,-0.03999999999999998,,,0.03999999999999998,,
70554,KXHIGHNY-26MAY17-T83,2026-05-17 00:10:32.983362+00:00,KNYC,2026-05-17,1,SKIP,0.13882010587101648,0.03500000000000002,0.10382010587101646,0.10382010587101646,2.0764021174203293,GFS,3.4641239,-0.010000000000000016,,,-0.010000000000000016,,
70553,KXHIGHNY-26MAY17-B85.5,2026-05-17 00:10:32.567464+00:00,KNYC,2026-05-17,1,SKIP,0.26688542816448996,0.15500000000000003,0.11188542816448993,0.11188542816448993,2.2377085632897984,GFS,3.4571922666666666,-0.010000000000000037,,,-0.010000000000000037,,
70552,KXHIGHNY-26MAY17-B89.5,2026-05-17 00:10:31.958200+00:00,KNYC,2026-05-17,1,SKIP,0.203338550939271,0.43499999999999994,-0.23166144906072894,0.23166144906072894,4.633228981214579,GFS,3.447037866666667,0.015000000000000069,,,-0.015000000000000069,,
70551,KXHIGHNY-26MAY17-T90,2026-05-17 00:10:31.344911+00:00,KNYC,2026-05-17,1,SKIP,0.13974413912579137,0.07999999999999999,0.05974413912579138,0.05974413912579138,1.1948827825158275,GFS,3.4368163833333334,-0.0049999999999999906,,,-0.0049999999999999906,,
70550,KXHIGHNY-26MAY17-B83.5,2026-05-17 00:10:30.960144+00:00,KNYC,2026-05-17,1,SKIP,0.21002385564854717,0.07499999999999998,0.1350238556485472,0.1350238556485472,2.7004771129709435,GFS,3.4304036,-0.009999999999999981,,,-0.009999999999999981,,
