signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
22276,KXHIGHCHI-26MAY09-B74.5,2026-05-09 23:56:16.069024+00:00,KMDW,2026-05-09,0,74.0,76.0,0,0.2738509629263127,0.14408954863741663,0.07499434989566871,0.020761798026534453,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22275,KXHIGHCHI-26MAY09-T70,2026-05-09 23:56:15.799996+00:00,KMDW,2026-05-09,0,,70.0,0,0.0,0.3263927405125017,0.0,0.10653222105926129,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22274,KXHIGHCHI-26MAY09-B76.5,2026-05-09 23:56:15.533912+00:00,KMDW,2026-05-09,0,76.0,78.0,1,0.39986924245064925,0.08918662620883966,0.3601569261567576,0.8295810018768359,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,NO,-19.990000000000016
22273,KXHIGHCHI-26MAY09-T77,2026-05-09 23:56:15.275251+00:00,KMDW,2026-05-09,0,78.0,,0,0.326279794623038,0.06772960117884752,0.10645850437925188,0.004587298875845743,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-14.41000000000001
22272,KXHIGHCHI-26MAY09-B72.5,2026-05-09 23:56:14.992611+00:00,KMDW,2026-05-09,0,72.0,74.0,0,0.0,0.1847123392417931,0.0,0.034118648268175254,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22271,KXHIGHCHI-26MAY09-B70.5,2026-05-09 23:56:14.726210+00:00,KMDW,2026-05-09,0,70.0,72.0,0,0.0,0.18788914422060138,0.0,0.03530233051594994,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22240,KXHIGHCHI-26MAY09-T70,2026-05-09 23:51:03.039578+00:00,KMDW,2026-05-09,0,,70.0,0,0.0,0.3263927405125017,0.0,0.10653222105926129,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22239,KXHIGHCHI-26MAY09-B74.5,2026-05-09 23:51:02.791204+00:00,KMDW,2026-05-09,0,74.0,76.0,0,0.2738509629263094,0.14408954863741663,0.07499434989566688,0.020761798026534453,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-19.990000000000016
22238,KXHIGHCHI-26MAY09-T77,2026-05-09 23:51:02.523322+00:00,KMDW,2026-05-09,0,78.0,,0,0.3262797946230398,0.06772960117884752,0.10645850437925303,0.004587298875845743,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,YES,-14.41000000000001
22237,KXHIGHCHI-26MAY09-B76.5,2026-05-09 23:51:02.254621+00:00,KMDW,2026-05-09,0,76.0,78.0,1,0.3998692424506508,0.08918662620883966,0.36015692615675576,0.8295810018768359,71.85255586511953,4.117743090458813,"GFS:0.18,HRRR:0.47,NBM:0.35",OPEN,NO,-19.990000000000016
