signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
56784,KXHIGHCHI-26MAY14-B62.5,2026-05-14 23:55:41.567626+00:00,KMDW,2026-05-14,0,62.0,64.0,0,0.01,0.20143710357420336,0.0001,0.04057690669636433,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
56783,KXHIGHCHI-26MAY14-T69,2026-05-14 23:55:40.949980+00:00,KMDW,2026-05-14,0,70.0,,0,0.03826477639073471,0.051933611717684736,0.0014641931122329284,0.0026971000260432414,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-10.410000000000009
56782,KXHIGHCHI-26MAY14-B68.5,2026-05-14 23:55:40.304766+00:00,KMDW,2026-05-14,0,68.0,70.0,0,0.04748346462805457,0.08236837943550035,0.0022546794130837095,0.006784549930830557,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-18.110000000000014
56781,KXHIGHCHI-26MAY14-B66.5,2026-05-14 23:55:39.681285+00:00,KMDW,2026-05-14,0,66.0,68.0,0,0.08916751925584097,0.14457573089073128,0.00795084649024077,0.02090214196258915,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
56780,KXHIGHCHI-26MAY14-B64.5,2026-05-14 23:55:39.078594+00:00,KMDW,2026-05-14,0,64.0,66.0,1,0.6786140814056167,0.1947816462120756,0.10328890867075555,0.648376597276935,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
56779,KXHIGHCHI-26MAY14-T62,2026-05-14 23:55:38.501944+00:00,KMDW,2026-05-14,0,,62.0,0,0.01,0.32490352816980467,0.0001,0.10556230261718705,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
56747,KXHIGHCHI-26MAY14-B64.5,2026-05-14 23:50:07.766041+00:00,KMDW,2026-05-14,0,64.0,66.0,1,0.678584493538515,0.1947816462120756,0.10330792779389289,0.648376597276935,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
56746,KXHIGHCHI-26MAY14-T69,2026-05-14 23:50:07.211518+00:00,KMDW,2026-05-14,0,70.0,,0,0.038270750078077266,0.051933611717684736,0.001464650311538651,0.0026971000260432414,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-10.410000000000009
56745,KXHIGHCHI-26MAY14-T62,2026-05-14 23:50:06.619774+00:00,KMDW,2026-05-14,0,,62.0,0,0.01,0.32490352816980467,0.0001,0.10556230261718705,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
56744,KXHIGHCHI-26MAY14-B62.5,2026-05-14 23:50:05.969425+00:00,KMDW,2026-05-14,0,62.0,64.0,0,0.01,0.20143710357420336,0.0001,0.04057690669636433,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
56743,KXHIGHCHI-26MAY14-B68.5,2026-05-14 23:50:05.352706+00:00,KMDW,2026-05-14,0,68.0,70.0,0,0.04749078562638724,0.08236837943550035,0.002255374719411469,0.006784549930830557,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-18.110000000000014
56742,KXHIGHCHI-26MAY14-B66.5,2026-05-14 23:50:04.755873+00:00,KMDW,2026-05-14,0,66.0,68.0,0,0.08918381243726747,0.14457573089073128,0.007953752400845705,0.02090214196258915,63.74591943359378,3.8453813234264023,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
